age,revenu_mensuel,montant_credit_demande,duree_remboursement_mois,nb_credits_anterieurs,situation_familiale,type_emploi,decision
24,5200,45000,24,0,celibataire,salarie_prive,ACCORDE
31,8900,120000,48,1,marie,fonctionnaire,ACCORDE
45,15000,300000,60,2,marie,independant,ACCORDE
29,4300,80000,36,1,celibataire,salarie_prive,REFUSE
38,12000,90000,24,0,marie,fonctionnaire,ACCORDE
52,7000,150000,72,3,divorce,independant,REFUSE
27,3500,40000,18,0,celibataire,sans_emploi,REFUSE
41,9800,110000,36,1,marie,salarie_prive,ACCORDE
36,6200,85000,48,2,divorce,salarie_prive,REFUSE
33,10500,130000,48,0,marie,fonctionnaire,ACCORDE
48,16800,240000,60,1,marie,fonctionnaire,ACCORDE
22,2800,30000,12,0,celibataire,sans_emploi,REFUSE
34,7600,95000,36,1,marie,salarie_prive,ACCORDE
39,5400,100000,60,2,divorce,independant,REFUSE
44,11200,170000,48,1,marie,fonctionnaire,ACCORDE
26,4600,70000,24,0,celibataire,salarie_prive,REFUSE
30,9100,125000,36,1,marie,salarie_prive,ACCORDE
55,8200,180000,84,4,divorce,independant,REFUSE
37,13400,160000,36,0,marie,fonctionnaire,ACCORDE
28,3900,65000,30,1,celibataire,sans_emploi,REFUSE
46,14500,220000,60,2,marie,independant,ACCORDE
32,6700,78000,24,1,marie,salarie_prive,ACCORDE
43,5900,120000,72,3,divorce,salarie_prive,REFUSE
25,5100,50000,24,0,celibataire,salarie_prive,ACCORDE
40,10100,140000,48,1,marie,fonctionnaire,ACCORDE
49,7300,155000,84,3,divorce,independant,REFUSE
35,8800,99000,30,0,marie,salarie_prive,ACCORDE
23,3200,35000,18,0,celibataire,sans_emploi,REFUSE
42,11600,185000,54,1,marie,fonctionnaire,ACCORDE
47,6400,115000,66,2,divorce,salarie_prive,REFUSE
29,9700,118000,36,0,marie,fonctionnaire,ACCORDE
31,4200,92000,60,2,celibataire,independant,REFUSE
53,15800,260000,72,2,marie,fonctionnaire,ACCORDE
27,5400,68000,24,0,celibataire,salarie_prive,ACCORDE
38,6100,125000,72,3,divorce,independant,REFUSE
34,9900,132000,42,1,marie,salarie_prive,ACCORDE
45,8400,175000,84,4,divorce,salarie_prive,REFUSE
28,5600,60000,24,0,celibataire,salarie_prive,ACCORDE
50,12300,210000,60,1,marie,fonctionnaire,ACCORDE
33,4700,87000,48,2,celibataire,independant,REFUSE
